Invoice_ID,Branch,City,Customer_type,Gender,Product_line, unit_price ,Quantity,Tax_5%,Total,Date,Time,Payment,gross_margin_percentage,gross_income,Rating
750-67-8428,A,Yangon,Member,Female,Health and beauty, ? 46.00 ,7,26.142, ? 348.14 ,01-05-2019,13:08:00,Ewallet,476.19%,26.142,9.1
226-31-3081,C,Naypyitaw,Normal,Female,Electronic accessories, ? 46.00 ,5,3.82, ? 233.82 ,03-08-2019,10:29:00,Cash,476.19%,3.82,9.6
631-41-3108,A,Yangon,Normal,Male,Home and lifestyle, ? 72.00 ,7,16.216, ? 520.22 ,03-03-2019,13:23:00,Credit card,476.19%,16.216,7.4
123-19-1176,A,Yangon,Member,Male,Health and beauty, ? 56.00 ,8,23.288, ? 471.29 ,1/27/2019,20:33:00,Ewallet,476.19%,23.288,8.4
373-73-7910,A,Yangon,Normal,Male,Sports and travel, ? 85.00 ,7,30.209, ? 625.21 ,02-08-2019,10:37:00,Ewallet,476.19%,30.209,5.3
699-14-3026,C,Naypyitaw,Normal,Male,Electronic accessories, ? 45.00 ,7,29.887, ? 344.89 ,3/25/2019,18:30:00,Ewallet,476.19%,29.887,4.1
355-53-5943,A,Yangon,Member,Female,Electronic accessories, ? 75.00 ,6,20.652, ? 470.65 ,2/25/2019,14:36:00,Ewallet,476.19%,20.652,5.8
315-22-5665,C,Naypyitaw,Normal,Female,Home and lifestyle, ? 85.00 ,10,36.78, ? 886.78 ,2/24/2019,11:38:00,Ewallet,476.19%,36.78,8
665-32-9167,A,Yangon,Member,Female,Health and beauty, ? 54.00 ,2,3.626, ? 111.63 ,01-10-2019,17:15:00,Credit card,476.19%,3.626,7.2
692-92-5582,B,Mandalay,Member,Female,Food and beverages, ? 68.00 ,3,8.226, ? 212.23 ,2/20/2019,13:27:00,Credit card,476.19%,8.226,5.9
351-62-0822,B,Mandalay,Member,Female,Fashion accessories, ? 100.00 ,4,2.896, ? 402.90 ,02-06-2019,18:07:00,Ewallet,476.19%,2.896,4.5
529-56-3974,B,Mandalay,Member,Male,Electronic accessories, ? 54.00 ,4,5.102, ? 221.10 ,03-09-2019,17:03:00,Cash,476.19%,5.102,6.8
365-64-0515,A,Yangon,Normal,Female,Electronic accessories, ? 80.00 ,5,11.738, ? 411.74 ,02-12-2019,10:25:00,Ewallet,476.19%,11.738,7.1
252-56-2699,A,Yangon,Normal,Male,Food and beverages, ? 82.00 ,10,21.595, ? 841.60 ,02-07-2019,16:48:00,Ewallet,476.19%,21.595,8.2
829-34-3910,A,Yangon,Normal,Female,Health and beauty, ? 51.00 ,10,35.69, ? 545.69 ,3/29/2019,19:21:00,Cash,476.19%,35.69,5.7
299-46-1805,B,Mandalay,Member,Female,Sports and travel, ? 52.00 ,6,28.116, ? 340.12 ,1/15/2019,16:19:00,Cash,476.19%,28.116,4.5
656-95-9349,A,Yangon,Member,Female,Health and beauty, ? 76.00 ,7,24.126, ? 556.13 ,03-11-2019,11:03:00,Credit card,476.19%,24.126,4.6
765-26-6951,A,Yangon,Normal,Male,Sports and travel, ? 66.00 ,6,21.783, ? 417.78 ,01-01-2019,10:39:00,Credit card,476.19%,21.783,6.9
329-62-1586,A,Yangon,Normal,Male,Food and beverages, ? 54.00 ,3,8.201, ? 170.20 ,1/21/2019,18:00:00,Credit card,476.19%,8.201,8.6
319-50-3348,B,Mandalay,Normal,Female,Home and lifestyle, ? 79.00 ,2,4.03, ? 162.03 ,03-11-2019,15:30:00,Ewallet,476.19%,4.03,4.4
300-71-4605,C,Naypyitaw,Member,Male,Electronic accessories, ? 88.00 ,5,21.51, ? 461.51 ,2/25/2019,11:24:00,Ewallet,476.19%,21.51,4.8
371-85-5789,B,Mandalay,Normal,Male,Health and beauty, ? 94.00 ,3,13.197, ? 295.20 ,03-05-2019,10:40:00,Ewallet,476.19%,13.197,5.1
273-16-6619,B,Mandalay,Normal,Male,Home and lifestyle, ? 98.00 ,2,3.32, ? 199.32 ,3/15/2019,12:20:00,Credit card,476.19%,3.32,4.4
636-48-8204,A,Yangon,Normal,Male,Electronic accessories, ? 66.00 ,5,8.64, ? 338.64 ,2/17/2019,11:15:00,Ewallet,476.19%,8.64,9.9
549-59-1358,A,Yangon,Member,Male,Sports and travel, ? 70.00 ,3,13.295, ? 223.29 ,03-02-2019,17:36:00,Ewallet,476.19%,13.295,6
227-03-5010,A,Yangon,Member,Female,Home and lifestyle, ? 96.00 ,8,21.036, ? 789.04 ,3/22/2019,19:20:00,Credit card,476.19%,21.036,8.5
649-29-6775,B,Mandalay,Normal,Male,Fashion accessories, ? 47.00 ,1,1.676, ? 48.68 ,02-08-2019,15:31:00,Cash,476.19%,1.676,6.7
189-17-4241,A,Yangon,Normal,Female,Fashion accessories, ? 87.00 ,2,8.767, ? 182.77 ,03-10-2019,12:17:00,Credit card,476.19%,8.767,7.7
145-94-9061,B,Mandalay,Normal,Female,Food and beverages, ? 91.00 ,5,22.09, ? 477.09 ,1/25/2019,19:48:00,Cash,476.19%,22.09,9.6
848-62-7243,A,Yangon,Normal,Male,Health and beauty, ? 59.00 ,9,11.201, ? 542.20 ,3/15/2019,15:36:00,Cash,476.19%,11.201,7.4
871-79-8483,B,Mandalay,Normal,Male,Fashion accessories, ? 63.00 ,5,23.533, ? 338.53 ,2/25/2019,19:39:00,Credit card,476.19%,23.533,4.8
149-71-6266,B,Mandalay,Member,Male,Sports and travel, ? 52.00 ,9,35.132, ? 503.13 ,1/28/2019,12:43:00,Cash,476.19%,35.132,4.5
640-49-2076,B,Mandalay,Normal,Male,Sports and travel, ? 50.00 ,8,33.512, ? 433.51 ,01-10-2019,14:49:00,Cash,476.19%,33.512,5.1
595-11-5460,A,Yangon,Normal,Male,Health and beauty, ? 47.00 ,2,9.658, ? 103.66 ,3/15/2019,10:12:00,Credit card,476.19%,9.658,5.1
183-56-6882,C,Naypyitaw,Member,Female,Food and beverages, ? 65.00 ,4,19.884, ? 279.88 ,02-06-2019,10:42:00,Ewallet,476.19%,19.884,7.5
232-16-2483,C,Naypyitaw,Member,Female,Sports and travel, ? 77.00 ,1,3.406, ? 80.41 ,01-07-2019,12:28:00,Ewallet,476.19%,3.406,6.8
129-29-8530,A,Yangon,Member,Male,Sports and travel, ? 71.00 ,5,15.655, ? 370.66 ,03-10-2019,19:15:00,Ewallet,476.19%,15.655,7
272-65-1806,A,Yangon,Normal,Female,Electronic accessories, ? 59.00 ,9,27.396, ? 558.40 ,1/15/2019,17:17:00,Ewallet,476.19%,27.396,4.7
333-73-7901,C,Naypyitaw,Normal,Female,Health and beauty, ? 72.00 ,8,21.968, ? 597.97 ,3/23/2019,13:24:00,Ewallet,476.19%,21.968,7.6
777-82-7220,B,Mandalay,Member,Male,Home and lifestyle, ? 89.00 ,8,12.048, ? 724.05 ,03-03-2019,13:01:00,Cash,476.19%,12.048,7.7
280-35-5823,B,Mandalay,Member,Female,Home and lifestyle, ? 73.00 ,1,4.336, ? 77.34 ,1/17/2019,18:45:00,Ewallet,476.19%,4.336,7.9
554-53-8700,C,Naypyitaw,Member,Male,Home and lifestyle, ? 56.00 ,2,5.611, ? 117.61 ,02-02-2019,10:11:00,Cash,476.19%,5.611,6.3
354-25-5821,B,Mandalay,Member,Female,Sports and travel, ? 60.00 ,6,20.736, ? 380.74 ,02-08-2019,13:03:00,Cash,476.19%,20.736,5.6
228-96-1411,C,Naypyitaw,Member,Female,Food and beverages, ? 54.00 ,8,39.48, ? 471.48 ,03-04-2019,20:39:00,Cash,476.19%,39.48,7.6
617-15-4209,C,Naypyitaw,Member,Male,Health and beauty, ? 51.00 ,2,1.537, ? 103.54 ,3/16/2019,19:47:00,Cash,476.19%,1.537,7.2
132-32-9879,B,Mandalay,Member,Female,Electronic accessories, ? 73.00 ,4,18.792, ? 310.79 ,03-09-2019,18:00:00,Cash,476.19%,18.792,9.5
370-41-7321,B,Mandalay,Member,Male,Health and beauty, ? 71.00 ,9,25.511, ? 664.51 ,2/27/2019,17:24:00,Credit card,476.19%,25.511,8.4
727-46-3608,B,Mandalay,Member,Female,Food and beverages, ? 99.00 ,9,9.005, ? 900.00 ,02-06-2019,15:47:00,Ewallet,476.19%,9.005,4.1
669-54-1719,B,Mandalay,Member,Male,Electronic accessories, ? 89.00 ,6,5.679, ? 539.68 ,02-10-2019,12:45:00,Credit card,476.19%,5.679,8.1
574-22-5561,C,Naypyitaw,Member,Female,Fashion accessories, ? 54.00 ,10,41.315, ? 581.32 ,3/19/2019,17:08:00,Ewallet,476.19%,41.315,7.9
326-78-5178,C,Naypyitaw,Member,Male,Food and beverages, ? 97.00 ,7,31.99, ? 710.99 ,02-03-2019,10:19:00,Cash,476.19%,31.99,9.5
162-48-8011,A,Yangon,Member,Female,Food and beverages, ? 85.00 ,5,11.148, ? 436.15 ,02-10-2019,15:10:00,Cash,476.19%,11.148,8.5
616-24-2851,B,Mandalay,Member,Female,Fashion accessories, ? 98.00 ,4,3.574, ? 395.57 ,3/22/2019,14:42:00,Ewallet,476.19%,3.574,6.5
778-71-5554,C,Naypyitaw,Member,Male,Fashion accessories, ? 52.00 ,1,0.772, ? 52.77 ,1/25/2019,15:46:00,Credit card,476.19%,0.772,6.1
242-55-6721,B,Mandalay,Normal,Male,Home and lifestyle, ? 87.00 ,2,1.616, ? 175.62 ,03-07-2019,11:49:00,Ewallet,476.19%,1.616,6.5
399-46-5918,C,Naypyitaw,Normal,Female,Electronic accessories, ? 86.00 ,8,34.392, ? 722.39 ,2/28/2019,19:01:00,Cash,476.19%,34.392,8.2
106-35-6779,A,Yangon,Member,Male,Home and lifestyle, ? 48.00 ,2,4.434, ? 100.43 ,3/27/2019,11:26:00,Cash,476.19%,4.434,5.8
635-40-6220,A,Yangon,Normal,Male,Health and beauty, ? 71.00 ,8,35.84, ? 603.84 ,02-07-2019,11:28:00,Ewallet,476.19%,35.84,6.6
817-48-8732,A,Yangon,Member,Female,Home and lifestyle, ? 51.00 ,10,36.175, ? 546.18 ,1/20/2019,15:55:00,Cash,476.19%,36.175,5.4
120-06-4233,C,Naypyitaw,Normal,Male,Electronic accessories, ? 86.00 ,6,9.183, ? 525.18 ,03-12-2019,20:36:00,Cash,476.19%,9.183,9.3
285-68-5083,C,Naypyitaw,Member,Female,Sports and travel, ? 54.00 ,3,3.711, ? 165.71 ,2/15/2019,17:47:00,Credit card,476.19%,3.711,10
803-83-5989,C,Naypyitaw,Normal,Male,Home and lifestyle, ? 83.00 ,6,16.719, ? 514.72 ,2/24/2019,10:55:00,Ewallet,476.19%,16.719,7
347-34-2234,B,Mandalay,Member,Female,Sports and travel, ? 71.00 ,9,24.782, ? 663.78 ,02-03-2019,13:40:00,Ewallet,476.19%,24.782,10
199-75-8169,A,Yangon,Member,Male,Sports and travel, ? 77.00 ,10,7.905, ? 777.91 ,03-06-2019,12:27:00,Credit card,476.19%,7.905,8.6
853-23-2453,B,Mandalay,Member,Male,Health and beauty, ? 55.00 ,4,15.148, ? 235.15 ,2/14/2019,14:35:00,Cash,476.19%,15.148,7.6
877-22-3308,A,Yangon,Member,Male,Health and beauty, ? 87.00 ,10,7.935, ? 877.94 ,3/13/2019,16:40:00,Cash,476.19%,7.935,5.8
838-78-4295,C,Naypyitaw,Normal,Female,Health and beauty, ? 85.00 ,2,3.347, ? 173.35 ,02-10-2019,15:43:00,Ewallet,476.19%,3.347,6.7
109-28-2512,B,Mandalay,Member,Female,Fashion accessories, ? 72.00 ,6,29.283, ? 461.28 ,01-07-2019,15:01:00,Ewallet,476.19%,29.283,9.9
232-11-3025,A,Yangon,Normal,Male,Sports and travel, ? 81.00 ,10,39.385, ? 849.39 ,1/24/2019,10:04:00,Cash,476.19%,39.385,6.4
382-03-4532,A,Yangon,Member,Female,Health and beauty, ? 81.00 ,1,0.917, ? 81.92 ,02-02-2019,18:50:00,Cash,476.19%,0.917,4.3
393-65-2792,C,Naypyitaw,Normal,Male,Food and beverages, ? 67.00 ,10,44.74, ? 714.74 ,01-06-2019,12:46:00,Credit card,476.19%,44.74,9.6
796-12-2025,C,Naypyitaw,Normal,Male,Fashion accessories, ? 74.00 ,10,31.06, ? 771.06 ,02-11-2019,16:19:00,Cash,476.19%,31.06,5.9
510-95-6347,B,Mandalay,Member,Female,Food and beverages, ? 72.00 ,3,7.278, ? 223.28 ,03-05-2019,18:17:00,Ewallet,476.19%,7.278,4
841-35-6630,C,Naypyitaw,Normal,Female,Electronic accessories, ? 87.00 ,6,22.773, ? 544.77 ,03-09-2019,18:21:00,Cash,476.19%,22.773,8.7
287-21-9091,A,Yangon,Normal,Male,Home and lifestyle, ? 82.00 ,9,33.602, ? 771.60 ,1/22/2019,10:55:00,Ewallet,476.19%,33.602,9.4
732-94-0499,C,Naypyitaw,Normal,Female,Electronic accessories, ? 91.00 ,10,20.825, ? 930.83 ,1/13/2019,17:04:00,Credit card,476.19%,20.825,5.4
263-10-3913,C,Naypyitaw,Member,Male,Fashion accessories, ? 83.00 ,9,22.068, ? 769.07 ,01-09-2019,14:20:00,Credit card,476.19%,22.068,8.6
381-20-0914,A,Yangon,Member,Female,Fashion accessories, ? 52.00 ,9,9.005, ? 477.00 ,01-12-2019,15:48:00,Credit card,476.19%,9.005,5.7
829-49-1914,C,Naypyitaw,Member,Female,Food and beverages, ? 95.00 ,10,39.155, ? 989.16 ,03-05-2019,16:24:00,Ewallet,476.19%,39.155,6.6
756-01-7507,C,Naypyitaw,Normal,Female,Health and beauty, ? 69.00 ,5,5.095, ? 350.10 ,1/22/2019,18:56:00,Cash,476.19%,5.095,6
870-72-4431,C,Naypyitaw,Normal,Female,Health and beauty, ? 82.00 ,6,29.757, ? 521.76 ,1/21/2019,14:42:00,Credit card,476.19%,29.757,5.5
847-38-7188,B,Mandalay,Normal,Female,Food and beverages, ? 84.00 ,3,14.502, ? 266.50 ,1/26/2019,19:56:00,Ewallet,476.19%,14.502,6.4
480-63-2856,C,Naypyitaw,Normal,Male,Food and beverages, ? 53.00 ,8,7.7, ? 431.70 ,1/23/2019,18:37:00,Ewallet,476.19%,7.7,6.6
787-56-0757,C,Naypyitaw,Member,Female,Food and beverages, ? 45.00 ,4,16.072, ? 196.07 ,2/23/2019,18:45:00,Credit card,476.19%,16.072,8.3
360-39-5055,C,Naypyitaw,Member,Male,Sports and travel, ? 64.00 ,5,12.228, ? 332.23 ,03-09-2019,10:17:00,Cash,476.19%,12.228,6.6
730-50-9884,C,Naypyitaw,Normal,Female,Sports and travel, ? 86.00 ,7,29.071, ? 631.07 ,03-05-2019,14:31:00,Ewallet,476.19%,29.071,4
362-58-8315,C,Naypyitaw,Normal,Male,Fashion accessories, ? 89.00 ,5,19.13, ? 464.13 ,3/25/2019,10:23:00,Cash,476.19%,19.13,9.9
633-44-8566,A,Yangon,Member,Male,Food and beverages, ? 65.00 ,7,17.283, ? 472.28 ,3/27/2019,20:35:00,Credit card,476.19%,17.283,7.3
504-35-8843,A,Yangon,Normal,Male,Sports and travel, ? 59.00 ,1,2.124, ? 61.12 ,01-02-2019,16:57:00,Cash,476.19%,2.124,5.7
318-68-5053,B,Mandalay,Normal,Female,Health and beauty, ? 51.00 ,6,23.097, ? 329.10 ,2/27/2019,17:55:00,Cash,476.19%,23.097,6.1
565-80-5980,C,Naypyitaw,Member,Female,Home and lifestyle, ? 47.00 ,4,9.476, ? 197.48 ,1/23/2019,10:25:00,Cash,476.19%,9.476,7.1
225-32-0908,C,Naypyitaw,Normal,Female,Sports and travel, ? 83.00 ,10,22.43, ? 852.43 ,1/26/2019,19:54:00,Ewallet,476.19%,22.43,8.2
873-51-0671,A,Yangon,Member,Female,Sports and travel, ? 69.00 ,7,7.693, ? 490.69 ,01-10-2019,16:42:00,Ewallet,476.19%,7.693,5.1
152-08-9985,B,Mandalay,Member,Male,Health and beauty, ? 79.00 ,9,28.962, ? 739.96 ,03-12-2019,12:09:00,Credit card,476.19%,28.962,8.6
512-91-0811,C,Naypyitaw,Normal,Male,Health and beauty, ? 97.00 ,1,4.488, ? 101.49 ,02-06-2019,20:05:00,Credit card,476.19%,4.488,6.6
594-34-4444,A,Yangon,Normal,Male,Electronic accessories, ? 54.00 ,1,4.858, ? 58.86 ,03-08-2019,20:38:00,Ewallet,476.19%,4.858,7.2
766-85-7061,B,Mandalay,Normal,Male,Health and beauty, ? 69.00 ,10,43.935, ? 733.94 ,3/29/2019,10:25:00,Ewallet,476.19%,43.935,5.1
871-39-9221,C,Naypyitaw,Normal,Female,Electronic accessories, ? 83.00 ,6,3.735, ? 501.74 ,02-09-2019,13:11:00,Cash,476.19%,3.735,4.1
865-92-6136,A,Yangon,Normal,Male,Food and beverages, ? 77.00 ,3,7.913, ? 238.91 ,3/23/2019,10:16:00,Ewallet,476.19%,7.913,9.3
733-01-9107,B,Mandalay,Normal,Male,Home and lifestyle, ? 94.00 ,6,24.81, ? 588.81 ,03-05-2019,18:14:00,Cash,476.19%,24.81,7.4
163-56-7055,C,Naypyitaw,Member,Male,Fashion accessories, ? 71.00 ,1,2.436, ? 73.44 ,3/26/2019,19:20:00,Cash,476.19%,2.436,4.1
